 ATL 20030101  2.08  0.98  0.01  0.11  0.21 363.6
 ATL 20030102  2.63  1.34  0.01  0.19  0.19 295.1
 ATL 20030103  2.50  1.26  0.23  0.00  0.08 310.9
 ATL 20030104  2.41  2.10  0.47  0.31  0.14 324.2
 ATL 20030105  2.41  1.61  0.16  0.26  0.22 326.0
 ATL 20030106  2.31  1.65  0.21  0.30  0.20 340.9
 ATL 20030107  2.11  2.00  0.76  0.18  0.03 372.9
 ATL 20030108  2.55  2.36  0.75  0.13  0.06 315.7
 ATL 20030109  2.94  2.24  0.35  0.24  0.17 280.0
 ATL 20030110  3.05  2.15  0.21  0.30  0.18 272.8
 ATL 20030111  2.96  2.66  0.46  0.37  0.14 281.8
 ATL 20030112  2.98  2.64  0.33  0.48  0.17 283.4
 ATL 20030113  2.82  2.10  0.38  0.20  0.13 299.5
 ATL 20030114  2.73  2.04  0.39  0.18  0.15 311.7
 ATL 20030115  2.77  2.42  0.55  0.24  0.12 311.6
 ATL 20030116  2.93  1.89  0.16  0.25  0.19 299.1
 ATL 20030117  2.62  2.19  0.37  0.37  0.13 334.3
 ATL 20030118  2.77  2.43  0.48  0.36  0.07 320.8
 ATL 20030119  2.42  2.32  0.71  0.25  0.04 365.0
 ATL 20030120  2.86  2.43  0.43  0.29  0.18 316.3
 ATL 20030121  3.02  1.51  0.00  0.15  0.24 304.3
 ATL 20030122  3.24  1.92  0.08  0.22  0.23 290.2
 ATL 20030123  2.56  2.33  0.65  0.23  0.05 362.1
 ATL 20030124  2.92  2.37  0.23  0.44  0.21 325.8
 ATL 20030125  2.87  2.25  0.32  0.32  0.16 335.0
 ATL 20030126  2.88  1.98  0.22  0.26  0.17 337.4
 ATL 20030127  2.68  2.46  0.67  0.19  0.09 364.0
 ATL 20030128  3.07  2.54  0.36  0.35  0.16 326.4
 ATL 20030129  3.22  1.22  0.07  0.00  0.04 316.1
 ATL 20030130  3.09  1.32  0.04  0.06  0.12 332.8
 ATL 20030131  2.74  2.25  0.35  0.36  0.15 374.1
 ATL 20030201  2.62  2.07  0.36  0.28  0.17 395.5
 ATL 20030202  3.03  2.66  0.46  0.33  0.15 350.9
