 BDL 20030101  1.34  0.77  0.16  0.21  0.07 305.7
 BDL 20030102  1.35  0.95  0.20  0.31  0.17 306.4
 BDL 20030103  1.33  0.45  0.00  0.00  0.05 312.9
 BDL 20030104  1.16  0.44  0.00  0.00  0.15 361.3
 BDL 20030105  1.14  0.61  0.02  0.15  0.29 371.4
 BDL 20030106  1.12  0.40  0.00  0.00  0.09 380.6
 BDL 20030107  1.05  0.78  0.25  0.27  0.25 412.3
 BDL 20030108  1.06  0.60  0.09  0.10  0.33 412.2
 BDL 20030109  1.08  0.62  0.02  0.17  0.36 407.2
 BDL 20030110  1.19  0.90  0.05  0.44  0.37 370.8
 BDL 20030111  1.18  0.77  0.13  0.22  0.30 377.1
 BDL 20030112  1.09  0.85  0.23  0.33  0.30 417.5
 BDL 20030113  1.17  0.82  0.03  0.37  0.37 392.1
 BDL 20030114  1.25  1.08  0.23  0.44  0.33 372.7
 BDL 20030115  1.20  0.78  0.12  0.22  0.30 394.8
 BDL 20030116  1.18  1.07  0.39  0.45  0.17 406.9
 BDL 20030117  1.27  0.66  0.08  0.14  0.16 382.4
 BDL 20030118  1.50  1.43  0.59  0.39  0.03 329.6
 BDL 20030119  1.25  0.81  0.11  0.26  0.26 398.4
 BDL 20030120  1.31  0.89  0.00  0.29  0.48 384.0
 BDL 20030121  1.45  1.28  0.32  0.41  0.27 354.2
 BDL 20030122  1.33  1.15  0.27  0.40  0.33 392.0
 BDL 20030123  1.42  1.01  0.13  0.27  0.36 372.8
 BDL 20030124  1.53  1.47  0.66  0.34  0.00 354.2
 BDL 20030125  1.49  1.09  0.18  0.34  0.24 369.7
 BDL 20030126  1.46  0.81  0.02  0.23  0.22 382.6
 BDL 20030127  1.31  1.17  0.42  0.33  0.25 434.3
 BDL 20030128  1.37  0.94  0.21  0.21  0.25 420.8
 BDL 20030129  1.62  0.66  0.00  0.05  0.15 364.5
 BDL 20030130  1.38  1.09  0.30  0.34  0.18 432.8
 BDL 20030131  1.51  0.69  0.01  0.13  0.14 401.9
 BDL 20030201  1.58  0.68  0.00  0.08  0.17 392.2
 BDL 20030202  1.48  0.90  0.19  0.12  0.23 424.7
 BDL 20030203  1.61  1.38  0.36  0.41  0.15 400.2
 BDL 20030204  1.87  0.71  0.02  0.01  0.10 352.0
 BDL 20030205  1.61  1.41  0.28  0.44  0.28 416.4
