 ANC 20030101  0.10  0.08  0.21  0.36  0.27 436.2
 ANC 20030102  0.10  0.07  0.10  0.24  0.33 434.8
 ANC 20030103  0.10  0.05  0.00  0.07  0.37 452.9
 ANC 20030104  0.10  0.06  0.00  0.18  0.52 454.3
 ANC 20030105  0.10  0.08  0.21  0.27  0.36 448.7
 ANC 20030106  0.11  0.08  0.16  0.34  0.39 447.7
 ANC 20030107  0.11  0.09  0.38  0.34  0.15 468.9
 ANC 20030108  0.12  0.05  0.00  0.02  0.23 397.9
 ANC 20030109  0.13  0.07  0.03  0.16  0.23 386.9
 ANC 20030110  0.13  0.08  0.08  0.18  0.31 392.1
 ANC 20030111  0.13  0.09  0.08  0.20  0.56 400.3
 ANC 20030112  0.14  0.11  0.40  0.14  0.34 391.6
 ANC 20030113  0.14  0.11  0.21  0.14  0.59 380.6
 ANC 20030114  0.14  0.12  0.27  0.28  0.35 383.9
 ANC 20030115  0.14  0.08  0.07  0.09  0.37 412.2
 ANC 20030116  0.14  0.10  0.12  0.14  0.52 427.1
 ANC 20030117  0.14  0.08  0.08  0.02  0.47 449.8
 ANC 20030118  0.14  0.09  0.10  0.21  0.35 471.7
 ANC 20030119  0.14  0.09  0.15  0.23  0.28 451.1
 ANC 20030120  0.15  0.09  0.00  0.16  0.48 458.7
 ANC 20030121  0.15  0.12  0.21  0.29  0.38 447.7
 ANC 20030122  0.15  0.12  0.36  0.28  0.25 490.6
 ANC 20030123  0.16  0.15  0.61  0.29  0.02 461.6
 ANC 20030124  0.17  0.13  0.31  0.26  0.23 464.6
 ANC 20030125  0.18  0.11  0.10  0.22  0.30 437.1
 ANC 20030126  0.18  0.14  0.22  0.28  0.32 446.7
 ANC 20030127  0.18  0.13  0.09  0.20  0.51 459.7
 ANC 20030128  0.19  0.10  0.00  0.08  0.34 457.7
 ANC 20030129  0.19  0.11  0.04  0.15  0.38 473.2
 ANC 20030130  0.19  0.11  0.05  0.15  0.37 517.6
 ANC 20030131  0.18  0.12  0.02  0.22  0.55 556.4
 ANC 20030201  0.20  0.11  0.00  0.15  0.36 542.1
 ANC 20030202  0.23  0.13  0.01  0.15  0.38 456.4
 ANC 20030203  0.25  0.11  0.00  0.00  0.25 421.2
 ANC 20030204  0.29  0.12  0.00  0.00  0.23 375.7
 ANC 20030205  0.30  0.17  0.00  0.04  0.57 373.4
 ANC 20030206  0.28  0.17  0.00  0.15  0.52 431.5
 ANC 20030207  0.32  0.13  0.00  0.00  0.20 381.3
 ANC 20030208  0.34  0.13  0.00  0.03  0.14 367.2
 ANC 20030209  0.34  0.18  0.00  0.11  0.39 379.4
 ANC 20030210  0.34  0.19  0.00  0.13  0.36 387.2
 ANC 20030211  0.37  0.16  0.00  0.02  0.26 379.6
 ANC 20030212  0.36  0.18  0.00  0.13  0.30 409.6
 ANC 20030213  0.36  0.18  0.00  0.10  0.30 425.2
 ANC 20030214  0.38  0.20  0.02  0.16  0.28 426.9
 ANC 20030215  0.37  0.27  0.14  0.37  0.25 448.0
 ANC 20030216  0.38  0.29  0.19  0.44  0.19 466.1
 ANC 20030217  0.40  0.29  0.11  0.43  0.22 451.3
 ANC 20030218  0.41  0.25  0.08  0.27  0.24 460.1
 ANC 20030219  0.41  0.31  0.15  0.37  0.28 469.9
 ANC 20030220  0.43  0.31  0.15  0.22  0.40 462.8
 ANC 20030221  0.46  0.31  0.03  0.25  0.46 454.4
 ANC 20030222  0.49  0.28  0.00  0.16  0.41 437.9
 ANC 20030223  0.54  0.24  0.00  0.03  0.26 412.5
 ANC 20030224  0.53  0.33  0.00  0.19  0.47 435.5
 ANC 20030225  0.56  0.30  0.00  0.16  0.32 429.7
 ANC 20030226  0.63  0.30  0.00  0.06  0.30 393.2
 ANC 20030227  0.59  0.35  0.00  0.20  0.40 438.5
 ANC 20030228  0.66  0.30  0.00  0.04  0.28 401.7
 ANC 20030301  0.64  0.33  0.03  0.13  0.25 429.8
 ANC 20030302  0.79  0.36  0.00  0.15  0.12 355.0
 ANC 20030303  0.80  0.43  0.00  0.20  0.25 362.3
 ANC 20030304  0.68  0.48  0.24  0.20  0.26 446.4
 ANC 20030305  0.65  0.62  0.74  0.24  0.02 498.0
 ANC 20030306  0.69  0.66  0.81  0.08  0.11 482.4
 ANC 20030307  0.73  0.70  0.79  0.09  0.12 465.1
 ANC 20030308  0.73  0.67  0.57  0.21  0.22 485.2
 ANC 20030309  0.79  0.74  0.62  0.25  0.14 460.1
 ANC 20030310  0.75  0.70  0.74  0.09  0.17 506.4
 ANC 20030311  0.83  0.80  0.68  0.32  0.00 467.8
 ANC 20030312  0.83  0.77  0.62  0.23  0.15 480.8
