 ACY 20030101  1.65  0.55  0.00  0.00  0.05 302.4
 ACY 20030102  1.67  0.87  0.07  0.14  0.19 301.3
 ACY 20030103  1.63  0.56  0.00  0.00  0.07 310.2
 ACY 20030104  1.39  0.87  0.11  0.21  0.28 362.3
 ACY 20030105  1.44  0.79  0.00  0.16  0.33 353.4
 ACY 20030106  1.36  0.53  0.00  0.01  0.17 377.0
 ACY 20030107  1.23  0.98  0.28  0.32  0.26 419.4
 ACY 20030108  1.33  1.08  0.22  0.37  0.32 392.0
 ACY 20030109  1.51  1.20  0.25  0.40  0.19 350.6
 ACY 20030110  1.63  1.20  0.04  0.46  0.31 328.6
 ACY 20030111  1.52  1.28  0.22  0.44  0.30 351.6
 ACY 20030112  1.52  1.33  0.27  0.46  0.27 357.8
 ACY 20030113  1.52  1.20  0.23  0.39  0.22 361.6
 ACY 20030114  1.59  1.11  0.08  0.34  0.32 350.8
 ACY 20030115  1.46  1.00  0.05  0.31  0.37 386.1
 ACY 20030116  1.59  1.22  0.24  0.34  0.23 360.8
 ACY 20030117  1.58  0.71  0.02  0.10  0.15 366.2
 ACY 20030118  1.75  1.64  0.53  0.39  0.09 336.7
 ACY 20030119  1.44  1.04  0.01  0.41  0.39 411.8
 ACY 20030120  1.72  1.27  0.11  0.38  0.31 349.9
 ACY 20030121  1.90  1.51  0.25  0.39  0.20 323.6
 ACY 20030122  1.82  1.46  0.30  0.36  0.18 342.2
 ACY 20030123  1.61  1.23  0.07  0.41  0.40 390.6
 ACY 20030124  1.70  1.64  0.72  0.28  0.00 376.1
 ACY 20030125  1.76  1.45  0.27  0.41  0.21 368.6
 ACY 20030126  1.75  1.12  0.09  0.26  0.27 376.4
 ACY 20030127  1.49  1.38  0.54  0.32  0.14 446.4
 ACY 20030128  1.71  1.11  0.31  0.16  0.08 398.3
 ACY 20030129  2.02  0.77  0.00  0.02  0.13 344.6
 ACY 20030130  1.90  0.80  0.02  0.05  0.15 370.3
 ACY 20030131  1.82  0.71  0.08  0.00  0.05 392.1
 ACY 20030201  1.79  0.83  0.00  0.07  0.27 405.6
 ACY 20030202  1.70  1.19  0.14  0.27  0.32 430.9
 ACY 20030203  2.10  1.56  0.17  0.39  0.21 360.8
 ACY 20030204  2.24  1.13  0.07  0.22  0.04 345.1
 ACY 20030205  2.07  1.85  0.33  0.45  0.22 377.6
 ACY 20030206  2.24  1.31  0.02  0.23  0.29 355.5
 ACY 20030207  2.23  0.72  0.00  0.00  0.02 363.9
 ACY 20030208  2.18  1.96  0.36  0.46  0.18 377.3
 ACY 20030209  2.32  1.75  0.10  0.42  0.31 361.6
 ACY 20030210  2.33  0.90  0.00  0.05  0.10 365.6
 ACY 20030211  2.03  1.44  0.05  0.37  0.35 423.5
 ACY 20030212  2.01  1.76  0.27  0.46  0.27 436.2
 ACY 20030213  2.00  1.82  0.43  0.37  0.21 445.4
 ACY 20030214  2.38  1.70  0.29  0.24  0.16 385.2
 ACY 20030215  2.84  1.15  0.07  0.02  0.07 332.9
 ACY 20030216  3.15  1.39  0.00  0.10  0.16 308.8
 ACY 20030217  3.47  1.11  0.00  0.00  0.01 288.8
 ACY 20030218  2.82  1.55  0.01  0.19  0.28 351.2
 ACY 20030219  3.28  1.85  0.00  0.21  0.31 312.5
 ACY 20030220  3.23  2.79  0.30  0.44  0.22 321.5
 ACY 20030221  3.26  2.28  0.11  0.35  0.26 325.0
 ACY 20030222  3.46  1.12  0.00  0.00  0.02 312.8
 ACY 20030223  3.60  1.97  0.00  0.17  0.32 307.5
 ACY 20030224  3.27  2.19  0.11  0.32  0.23 340.1
 ACY 20030225  3.19  2.67  0.34  0.38  0.17 353.2
 ACY 20030226  2.82  1.13  0.02  0.05  0.10 401.0
 ACY 20030227  2.85  0.95  0.00  0.00  0.04 403.8
 ACY 20030228  2.80  1.06  0.09  0.00  0.00 416.3
 ACY 20030301  3.07  1.53  0.00  0.14  0.25 389.2
 ACY 20030302  3.04  1.07  0.00  0.01  0.07 398.1
 ACY 20030303  2.87  2.67  0.60  0.31  0.07 426.0
 ACY 20030304  3.23  2.46  0.26  0.35  0.16 389.3
 ACY 20030305  3.91  1.91  0.08  0.14  0.09 333.9
 ACY 20030306  4.23  1.64  0.04  0.07  0.01 317.0
 ACY 20030307  3.71  2.95  0.42  0.28  0.08 360.5
 ACY 20030308  3.73  2.64  0.15  0.36  0.20 363.8
 ACY 20030309  3.97  2.83  0.14  0.36  0.23 349.2
 ACY 20030310  3.29  2.98  0.40  0.43  0.17 419.4
 ACY 20030311  3.23  2.41  0.23  0.31  0.23 431.8
 ACY 20030312  3.54  1.94  0.00  0.21  0.27 402.6
 ACY 20030313  3.76  1.62  0.00  0.12  0.11 387.4
 ACY 20030314  3.86  3.12  0.45  0.26  0.09 383.5
 ACY 20030315  4.22  3.84  0.42  0.45  0.12 359.8
 ACY 20030316  4.43  3.13  0.12  0.35  0.26 349.6
 ACY 20030317  4.64  2.61  0.05  0.19  0.25 340.4
 ACY 20030318  5.08  3.49  0.21  0.27  0.18 319.2
 ACY 20030319  4.83  3.98  0.50  0.28  0.02 337.6
 ACY 20030320  5.05  2.31  0.00  0.11  0.19 329.0
 ACY 20030321  5.43  2.89  0.00  0.16  0.30 313.1
 ACY 20030322  5.13  4.36  0.19  0.53  0.24 332.4
 ACY 20030323  4.85  3.90  0.19  0.45  0.24 352.5
 ACY 20030324  4.70  3.89  0.26  0.43  0.21 366.9
 ACY 20030325  5.31  4.42  0.28  0.43  0.19 334.1
 ACY 20030326  5.22  3.01  0.00  0.23  0.31 342.9
 ACY 20030327  4.73  4.18  0.44  0.41  0.08 377.6
 ACY 20030328  5.23  3.70  0.28  0.27  0.11 349.8
 ACY 20030329  6.15  3.13  0.09  0.08  0.21 308.1
 ACY 20030330  6.04  2.03  0.00  0.00  0.05 316.6
 ACY 20030331  4.33  3.76  0.24  0.46  0.30 426.7
 ACY 20030401  4.67  2.14  0.16  0.03  0.04 403.1
 ACY 20030402  5.34  3.67  0.17  0.18  0.37 362.3
 ACY 20030403  5.74  4.12  0.11  0.36  0.29 343.8
 ACY 20030404  5.90  3.72  0.02  0.28  0.34 339.3
 ACY 20030405  5.65  2.85  0.09  0.05  0.24 355.1
 ACY 20030406  5.90  4.97  0.58  0.23  0.00 345.4
 ACY 20030407  6.56  2.45  0.00  0.00  0.14 318.7
 ACY 20030408  6.90  3.00  0.00  0.00  0.29 308.2
 ACY 20030409  7.19  2.54  0.00  0.00  0.09 300.6
 ACY 20030410  6.93  2.56  0.00  0.00  0.13 312.9
 ACY 20030411  6.35  3.21  0.00  0.00  0.46 339.3
 ACY 20030412  5.80  3.77  0.21  0.17  0.23 369.7
 ACY 20030413  5.73  4.95  0.46  0.38  0.04 376.6
 ACY 20030414  5.60  5.17  0.58  0.37  0.00 386.7
 ACY 20030415  6.16  5.58  0.31  0.57  0.12 359.0
 ACY 20030416  6.82  6.12  0.27  0.59  0.14 332.1
 ACY 20030417  6.79  3.00  0.00  0.04  0.25 335.9
 ACY 20030418  6.70  3.78  0.00  0.23  0.28 342.0
 ACY 20030419  6.78  5.12  0.27  0.35  0.13 340.9
 ACY 20030420  7.36  6.22  0.38  0.47  0.00 320.5
 ACY 20030421  7.45  4.90  0.17  0.22  0.24 319.3
 ACY 20030422  7.27  4.34  0.01  0.14  0.47 328.0
 ACY 20030423  5.96  5.08  0.23  0.41  0.35 390.5
 ACY 20030424  5.89  5.46  0.44  0.50  0.06 396.7
 ACY 20030425  6.78  3.87  0.08  0.24  0.15 353.7
 ACY 20030426  7.36  2.87  0.00  0.00  0.18 332.1
 ACY 20030427  7.08  6.47  0.36  0.54  0.10 345.0
 ACY 20030428  7.23  6.84  0.53  0.47  0.00 341.2
 ACY 20030429  7.58  6.10  0.14  0.51  0.24 329.2
 ACY 20030430  7.35  6.13  0.29  0.52  0.05 340.2
