 BIS 20020101  0.72  0.57  0.64  0.06  0.00 375.0
 BIS 20020102  0.83  0.80  0.79  0.21  0.00 329.7
 BIS 20020103  0.82  0.56  0.11  0.37  0.21 337.7
 BIS 20020104  0.87  0.46  0.06  0.17  0.18 321.4
 BIS 20020105  0.90  0.66  0.20  0.35  0.20 312.8
 BIS 20020106  0.87  0.76  0.71  0.13  0.00 326.7
 BIS 20020107  0.89  0.68  0.16  0.42  0.23 324.2
 BIS 20020108  0.96  0.66  0.00  0.43  0.30 303.3
 BIS 20020109  0.89  0.65  0.06  0.45  0.27 329.7
 BIS 20020110  0.93  0.76  0.47  0.24  0.10 320.6
 BIS 20020111  0.92  0.64  0.00  0.45  0.30 328.8
 BIS 20020112  0.84  0.75  0.37  0.44  0.19 366.2
 BIS 20020113  0.83  0.39  0.00  0.11  0.22 376.8
 BIS 20020114  0.87  0.49  0.06  0.20  0.22 367.1
 BIS 20020115  0.98  0.68  0.16  0.36  0.15 330.2
 BIS 20020116  0.86  0.58  0.11  0.34  0.22 383.2
 BIS 20020117  0.84  0.55  0.27  0.18  0.12 400.8
 BIS 20020118  0.83  0.60  0.07  0.41  0.30 411.0
 BIS 20020119  0.83  0.52  0.04  0.28  0.29 420.3
 BIS 20020120  0.94  0.53  0.17  0.12  0.17 372.9
 BIS 20020121  0.95  0.76  0.27  0.33  0.27 372.3
 BIS 20020122  1.02  0.47  0.00  0.13  0.18 357.1
 BIS 20020123  0.98  0.65  0.16  0.28  0.18 378.2
 BIS 20020124  1.02  0.80  0.10  0.44  0.36 372.9
 BIS 20020125  1.07  0.82  0.02  0.48  0.38 359.9
 BIS 20020126  1.06  0.71  0.00  0.41  0.27 370.5
 BIS 20020127  1.24  0.72  0.00  0.30  0.22 323.8
 BIS 20020128  1.27  0.52  0.00  0.06  0.15 324.3
 BIS 20020129  1.25  0.78  0.16  0.23  0.15 334.0
 BIS 20020130  1.28  0.98  0.28  0.33  0.16 333.3
 BIS 20020131  1.23  1.06  0.59  0.20  0.08 352.4
 BIS 20020201  1.23  0.84  0.06  0.35  0.31 362.0
 BIS 20020202  1.28  1.02  0.21  0.39  0.27 356.8
 BIS 20020203  1.31  1.11  0.48  0.28  0.12 357.6
 BIS 20020204  1.41  1.03  0.11  0.40  0.26 338.7
 BIS 20020205  1.49  1.18  0.39  0.31  0.09 329.4
 BIS 20020206  1.49  1.39  0.57  0.31  0.12 335.1
 BIS 20020207  1.43  1.08  0.05  0.47  0.32 356.9
 BIS 20020208  1.60  0.77  0.00  0.13  0.22 326.0
 BIS 20020209  1.74  1.12  0.43  0.07  0.00 309.3
 BIS 20020210  1.80  1.44  0.36  0.33  0.12 304.2
 BIS 20020211  1.64  1.29  0.06  0.46  0.40 341.6
 BIS 20020212  1.37  1.01  0.27  0.27  0.20 416.9
 BIS 20020213  1.65  1.38  0.26  0.42  0.25 354.8
 BIS 20020214  1.49  0.79  0.00  0.21  0.23 401.8
 BIS 20020215  1.74  1.45  0.21  0.45  0.29 353.8
 BIS 20020216  1.78  1.53  0.51  0.31  0.05 354.0
 BIS 20020217  1.95  1.64  0.39  0.37  0.12 331.2
 BIS 20020218  1.79  1.14  0.08  0.32  0.20 366.3
 BIS 20020219  1.94  1.17  0.18  0.19  0.13 346.0
